Cash Flow,2021-03-31,2020-09-30,2020-06-30,2020-03-31
Net Income,"-176,237","-632,518","-458,929","-267,751"
Depreciation,"77,817","257,410","173,318","84,837"
Accounts Receivable,"-6,458","-174,551","-163,579","-139,779"
Inventory,"2,652","93,457","75,750","56,782"
Prepaid Expenses,-,-,-,-
Accounts Payable,"81,999","-24,447","30,086","23,114"
Other Changes in Oper. Activity,"126,033","354,198","254,080","81,750"
Purchases of Fixed Assets,"-22,308","-70,375","-39,672","-22,367"
Other Changes in Investing Act.,"4,944","-100,642","-6,702","-4,361"
Increase in Debts,"-27,645","98,452","86,396","57,743"
Other Changes in Financing Act.,"-6,236","-32,836","-25,201","-15,139"
Cash at Begining of Period,"174,904","404,393","404,393","404,393"
Cash at End of Period,"229,465","172,541","329,940","259,222"
All figures are in,Thousands,Thousands,Thousands,Thousands
Currency,SAR,SAR,SAR,SAR
Last Update Date,2021-05-10,2020-11-10,2020-08-20,2020-06-15
